open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
2759.82;2764.46;2754.98;2760.67;0;2018-07-06 14:00:00;^SPX;2018-07-06 14:00:00;240min;US/Eastern
2759.51;2767.25;2759.51;2766.51;0;2018-07-08 18:00:00;^SPX;2018-07-08 18:00:00;240min;US/Eastern
2766.26;2772.25;2766.01;2770.25;0;2018-07-08 22:00:00;^SPX;2018-07-08 22:00:00;240min;US/Eastern
2770.00;2772.28;2768.30;2768.30;0;2018-07-09 02:00:00;^SPX;2018-07-09 02:00:00;240min;US/Eastern
2768.05;2772.86;2768.05;2769.89;0;2018-07-09 06:00:00;^SPX;2018-07-09 06:00:00;240min;US/Eastern
2770.14;2782.98;2770.14;2780.21;0;2018-07-09 10:00:00;^SPX;2018-07-09 10:00:00;240min;US/Eastern
2780.22;2785.52;2776.94;2785.02;0;2018-07-09 14:00:00;^SPX;2018-07-09 14:00:00;240min;US/Eastern
2785.22;2794.95;2783.98;2793.21;0;2018-07-09 18:00:00;^SPX;2018-07-09 18:00:00;240min;US/Eastern
2793.46;2793.46;2789.24;2790.25;0;2018-07-09 22:00:00;^SPX;2018-07-09 22:00:00;240min;US/Eastern
2790.50;2791.24;2785.50;2786.76;0;2018-07-10 02:00:00;^SPX;2018-07-10 02:00:00;240min;US/Eastern
2787.01;2792.05;2786.08;2789.07;0;2018-07-10 06:00:00;^SPX;2018-07-10 06:00:00;240min;US/Eastern
2789.32;2795.34;2787.20;2791.42;0;2018-07-10 10:00:00;^SPX;2018-07-10 10:00:00;240min;US/Eastern
2791.67;2795.24;2778.82;2783.30;0;2018-07-10 14:00:00;^SPX;2018-07-10 14:00:00;240min;US/Eastern
2779.33;2783.81;2768.39;2768.89;0;2018-07-10 18:00:00;^SPX;2018-07-10 18:00:00;240min;US/Eastern
2768.64;2778.61;2763.67;2775.15;0;2018-07-10 22:00:00;^SPX;2018-07-10 22:00:00;240min;US/Eastern
2774.90;2776.64;2767.44;2773.68;0;2018-07-11 02:00:00;^SPX;2018-07-11 02:00:00;240min;US/Eastern
2773.93;2781.14;2770.45;2775.42;0;2018-07-11 06:00:00;^SPX;2018-07-11 06:00:00;240min;US/Eastern
2775.67;2785.53;2773.64;2775.48;0;2018-07-11 10:00:00;^SPX;2018-07-11 10:00:00;240min;US/Eastern
2775.85;2780.71;2770.43;2774.58;0;2018-07-11 14:00:00;^SPX;2018-07-11 14:00:00;240min;US/Eastern
2774.56;2777.09;2771.83;2775.60;0;2018-07-11 18:00:00;^SPX;2018-07-11 18:00:00;240min;US/Eastern
2775.85;2782.84;2774.11;2781.35;0;2018-07-11 22:00:00;^SPX;2018-07-11 22:00:00;240min;US/Eastern
